Barometer,Temp,NO,PM-10,RH,Radiation,WindDir,SO2,NOx,NO2,Compass,PM-2-5,CO,PM-1,O3,Wind Spd,TSP
1007.58,27.28,5.02,17.68,91.09,-10.51,150.89,74.40,12.27,34.67,319.26,10.92,321.27,5.16,18.77,1.66,37.46
1008.28,26.48,3.29,17.50,93.82,-33.11,161.00,76.49,-4.97,20.52,314.46,9.25,348.69,4.96,20.74,1.75,27.63
1006.32,27.19,3.05,14.43,95.38,-28.71,148.27,83.70,-3.95,22.81,320.60,8.45,566.00,4.43,21.56,1.74,21.51
1007.06,27.41,2.55,21.57,94.67,-55.73,138.08,79.52,-8.42,20.36,320.49,10.74,711.77,6.20,18.99,1.77,31.21
1004.11,28.18,2.66,17.17,91.26,-49.38,150.37,78.28,-16.06,16.65,322.31,9.06,630.09,5.24,32.67,1.80,25.38
1004.29,27.94,4.31,20.46,91.41,-10.40,133.98,81.68,30.73,20.05,331.85,9.37,500.16,4.66,63.81,1.44,32.71
1004.98,27.34,2.26,34.51,86.36,-42.01,151.58,77.18,-25.31,15.09,313.91,12.03,470.01,4.68,27.82,1.49,51.88
1006.23,26.57,2.75,35.53,82.68,-25.76,144.71,83.13,-6.14,14.65,327.46,13.47,502.33,6.29,47.98,1.29,55.16
1008.22,27.71,2.31,22.28,77.04,-36.98,138.12,76.48,-20.21,12.36,319.45,10.92,343.38,5.79,67.04,1.58,35.90
1007.06,26.27,5.25,21.11,74.34,-8.59,139.87,80.00,28.34,16.40,331.35,10.34,325.00,5.72,92.74,1.56,33.86
1006.00,26.62,4.41,21.26,73.69,-10.16,136.73,76.96,23.92,19.23,328.27,10.61,346.83,5.75,106.56,1.46,33.40
1006.95,27.03,3.04,20.19,74.21,-10.76,143.55,72.04,11.87,13.60,326.45,10.12,323.32,5.31,105.48,1.46,31.65
1007.06,26.63,3.69,21.16,74.18,26.07,138.18,77.52,6.24,14.74,325.91,10.10,303.48,5.13,92.88,1.59,32.97
1009.46,27.00,2.63,20.29,73.60,149.42,140.77,76.25,-6.42,12.50,325.69,9.32,285.67,4.67,95.20,1.61,33.07
1007.27,28.07,2.98,19.03,73.17,275.65,151.79,77.23,-3.79,12.36,328.57,9.80,267.82,4.92,106.21,1.63,28.48
1008.16,27.30,4.59,18.53,72.50,494.82,136.83,78.84,35.04,16.24,332.26,9.28,266.05,4.73,105.58,1.40,29.37
1007.92,27.90,2.58,16.52,71.72,615.28,158.05,72.83,-9.90,12.25,324.09,8.53,222.18,4.21,104.83,1.40,27.07
1008.94,27.39,3.09,15.66,71.61,570.23,171.19,80.00,-3.75,12.74,329.42,7.92,213.69,3.78,91.87,1.41,27.51
1006.88,28.25,3.67,15.66,71.54,417.92,152.95,80.19,12.15,13.93,332.64,8.33,200.86,4.06,104.79,1.58,24.74
1007.16,26.99,6.02,16.10,71.96,459.83,149.81,82.11,58.54,19.44,337.83,8.55,268.88,4.18,106.64,1.44,27.13
1006.28,27.44,5.00,15.11,71.94,345.71,155.33,79.43,33.47,16.91,330.51,8.19,231.26,4.00,90.16,1.64,26.06
1005.70,27.76,4.43,14.52,72.04,202.92,175.80,79.23,23.05,15.44,330.92,8.10,210.61,4.00,96.43,1.65,23.92
1008.56,26.95,4.83,14.68,72.40,88.06,173.51,81.43,30.73,16.21,336.53,8.01,206.57,3.98,115.05,1.87,23.47
1009.17,27.26,3.81,14.05,72.55,40.26,172.87,79.94,21.34,14.86,333.80,7.80,196.95,3.98,117.65,1.54,23.69
1006.49,26.85,5.92,15.34,74.39,36.20,141.44,79.70,60.81,20.14,334.66,8.39,270.67,4.23,121.15,1.56,26.18
1006.25,27.36,5.61,13.09,74.22,-16.47,150.74,78.66,44.53,19.23,332.67,7.37,226.36,3.75,101.03,1.63,22.55
1006.05,27.24,5.26,12.69,73.12,-1.41,172.26,81.20,41.36,17.06,336.94,7.49,187.34,3.96,121.10,1.66,21.37
1007.15,27.91,5.21,12.73,73.83,-45.68,156.18,78.50,44.09,17.38,333.72,7.51,207.29,3.96,106.07,1.70,21.62
1008.67,28.04,5.13,11.80,74.45,-20.16,141.99,79.07,39.85,17.16,333.84,6.91,199.14,3.66,101.97,1.55,20.34
1006.39,27.61,5.34,11.48,76.07,-23.87,162.64,80.30,34.48,17.77,333.04,6.62,200.11,3.47,83.29,1.57,19.50
1006.80,28.50,5.41,11.41,75.72,23.55,156.09,79.09,43.60,17.44,333.21,6.70,204.97,3.59,98.19,1.75,19.92
1005.70,28.05,6.09,11.12,76.32,3.03,142.05,80.62,56.15,23.70,338.12,6.91,205.88,3.58,108.21,1.53,19.08
1004.79,26.76,6.90,11.13,77.16,10.49,144.84,81.92,71.67,25.50,340.43,6.83,232.78,3.49,110.44,1.56,18.86
1005.74,28.68,6.52,10.58,76.61,11.64,145.96,80.69,61.18,23.16,336.10,6.40,223.74,3.27,95.27,1.72,17.75
1009.77,27.78,5.35,11.22,75.53,-11.49,150.17,80.38,22.71,22.05,332.84,6.69,202.91,3.37,64.09,1.65,18.63
1009.25,29.28,5.12,10.29,74.22,-38.97,157.41,81.80,16.94,19.59,335.46,7.05,150.72,4.00,74.12,1.56,16.67
1008.70,28.45,4.72,14.56,75.00,-12.97,144.91,78.75,18.70,19.75,331.89,8.48,196.37,4.88,67.44,1.76,23.25
1005.00,29.46,4.31,19.41,74.28,87.52,140.75,74.64,-0.36,20.19,321.75,10.04,244.64,5.95,40.19,1.52,30.73
1004.15,27.23,5.95,24.60,74.32,438.03,138.67,79.25,48.61,22.57,334.18,11.01,286.81,6.08,73.88,1.58,40.43
1007.35,28.17,4.83,18.01,72.66,495.51,137.16,76.99,24.93,18.64,330.40,8.87,194.57,5.10,78.39,1.57,29.85
1005.61,27.94,4.21,21.39,71.90,620.68,177.19,75.02,-4.66,16.83,324.29,8.38,163.13,4.47,52.89,1.44,40.19
1009.13,27.55,4.02,19.01,71.47,554.20,156.18,76.92,-8.67,17.37,326.29,7.99,143.08,4.13,51.15,1.53,34.24
1006.47,29.09,4.32,13.56,71.16,624.22,147.98,77.78,-13.07,19.12,327.27,7.06,123.37,3.79,45.89,1.73,22.35
1005.31,27.39,4.19,16.42,71.04,652.33,174.32,77.51,-6.36,19.31,328.78,7.43,134.18,3.83,51.29,1.46,28.71
1006.16,28.61,3.95,18.53,71.11,644.19,129.59,77.39,10.02,18.90,329.98,7.91,152.26,4.11,81.60,1.70,34.06
1004.73,27.96,4.76,17.96,71.11,432.05,157.06,80.02,6.95,19.72,331.57,8.15,136.97,4.19,85.81,1.52,31.96
1005.92,27.07,4.41,27.45,71.15,176.80,157.23,77.22,1.32,18.79,325.57,10.31,176.57,4.75,68.14,1.52,48.08
1004.79,28.14,4.16,29.65,71.18,-55.34,140.23,76.46,-15.69,19.67,320.74,10.64,155.63,4.86,58.33,1.72,51.55
1007.10,27.26,4.48,18.55,71.54,-94.36,166.97,80.56,-15.38,20.70,324.37,8.49,175.95,4.09,48.72,1.71,31.92
1006.20,27.66,4.34,20.41,71.52,-70.38,139.81,80.34,-6.34,19.45,328.02,8.87,134.43,4.45,78.46,1.62,36.80
1007.13,27.42,5.24,23.35,71.92,48.89,137.62,82.55,56.61,21.22,336.34,10.68,217.38,5.80,124.04,1.59,43.39
1005.44,27.21,5.01,20.92,71.63,-38.03,143.79,82.02,21.78,21.80,328.90,9.20,152.68,4.93,90.49,1.51,37.66
1007.91,27.46,5.64,20.41,71.91,-8.78,122.47,83.23,65.17,22.05,338.22,9.49,207.73,5.60,132.83,1.83,38.24
1008.68,28.35,4.77,16.41,71.47,-78.16,148.60,78.25,6.37,20.98,325.80,8.32,117.43,4.49,70.05,1.94,28.96
1008.22,27.43,5.36,16.63,72.77,-44.82,129.99,80.02,38.36,21.84,333.99,9.31,194.73,5.39,84.84,1.63,27.93
1007.73,27.07,5.90,15.89,72.09,-18.28,139.52,81.37,39.88,23.43,332.46,8.83,167.29,4.58,86.05,1.64,26.94
1007.56,27.70,4.77,14.50,71.44,-23.53,144.87,79.21,-0.23,20.17,324.69,7.63,116.28,3.77,67.59,2.10,25.18
1006.63,27.15,5.63,14.88,71.68,-19.41,143.33,80.91,26.15,22.41,332.55,7.85,136.46,3.93,92.51,1.60,25.35
1007.06,27.55,5.29,14.42,71.80,-10.53,145.43,81.11,35.66,20.90,330.71,7.44,150.67,3.72,89.82,1.83,25.37
1007.99,27.46,5.41,15.12,71.84,-22.62,138.81,82.51,26.94,21.91,330.82,7.27,135.34,3.56,69.80,1.50,26.34
1005.95,27.37,5.77,18.30,73.18,26.89,128.26,82.25,39.55,23.40,336.13,8.02,234.38,3.79,67.40,1.56,31.65
1006.64,27.63,5.21,17.71,72.35,52.65,137.35,80.65,19.95,22.18,327.94,7.96,182.03,3.83,57.00,1.50,28.70
1004.74,27.49,4.77,19.09,71.99,212.43,133.50,82.03,-9.27,19.83,331.14,7.57,145.85,3.46,39.30,1.55,33.85
1006.01,26.88,5.26,21.43,71.80,340.55,148.05,78.31,17.84,21.41,329.93,8.10,148.72,3.94,72.24,1.63,38.86
1008.74,27.60,4.33,20.96,72.51,333.21,142.71,76.27,6.50,20.38,325.49,8.31,195.93,4.04,58.71,1.73,41.40
1008.02,27.43,4.87,17.10,71.87,506.34,137.36,80.69,28.32,20.65,333.64,8.13,209.29,4.29,93.86,1.49,31.85
1010.88,27.41,4.60,15.64,71.91,571.04,142.21,81.67,49.83,20.17,336.49,8.27,234.10,4.98,127.31,1.40,28.41
1006.56,27.86,3.86,22.15,71.75,454.94,133.11,80.06,4.94,18.59,329.69,10.21,195.85,6.15,80.57,1.46,42.12
1006.06,27.74,3.44,25.47,71.51,478.62,133.26,80.90,-6.07,17.34,326.84,9.25,166.81,5.28,74.38,1.59,51.58
1004.97,27.52,4.44,24.92,71.51,435.32,157.02,79.97,-4.91,19.53,324.06,9.33,164.54,4.90,69.45,1.66,52.00
1005.23,27.60,3.66,32.33,71.65,121.86,154.75,77.13,-14.22,19.44,321.92,13.64,182.47,7.50,53.94,1.42,55.91
1009.64,26.67,2.69,32.77,71.44,-33.92,158.00,76.95,-29.59,17.54,320.49,14.12,184.85,7.99,55.81,1.73,61.66
1008.38,27.30,2.78,29.07,71.87,-24.95,164.14,77.13,-19.21,17.41,322.42,12.65,338.50,7.62,67.67,1.51,54.27
1008.03,26.19,4.95,23.06,72.09,-1.28,131.71,81.89,30.19,22.05,333.21,9.88,291.89,5.51,103.87,1.86,42.66
1006.94,27.51,3.83,20.38,71.56,-30.05,146.34,80.53,-4.48,19.30,327.13,8.59,169.35,4.27,100.41,1.76,36.80
1005.64,27.11,6.31,22.06,72.01,8.63,136.29,81.52,44.53,24.90,334.00,9.00,222.61,4.44,112.86,1.46,39.67
1005.50,27.13,4.85,19.68,71.72,-71.44,134.84,80.62,14.21,22.52,331.09,8.72,167.88,4.44,93.89,1.75,35.05
1008.66,27.18,5.84,19.87,71.84,-22.61,131.96,83.56,58.55,23.37,341.59,9.07,223.79,4.56,144.53,1.42,37.76
1007.43,27.13,5.76,18.74,71.67,-3.80,138.97,80.33,44.64,23.78,332.17,8.82,179.35,4.38,114.75,1.53,33.82
1007.10,27.01,6.02,16.31,71.70,24.62,147.81,80.81,37.42,24.93,331.86,8.39,171.04,4.10,109.69,1.61,28.37
