Barometer,Temp,NO,PM-10,RH,Radiation,WindDir,SO2,NOx,NO2,Compass,PM-2-5,CO,PM-1,O3,Wind Spd,TSP
1008.55,27.15,2.40,27.56,96.72,0.00,155.80,77.35,15.64,20.83,322.49,11.96,896.92,5.26,37.38,1.02,43.21
1011.83,25.47,2.57,29.41,98.37,0.00,152.69,75.14,14.42,18.66,322.56,12.42,977.07,5.46,32.21,1.36,46.06
1003.65,27.80,2.57,23.26,98.01,0.00,167.32,71.21,9.36,10.73,322.41,9.87,671.73,4.42,34.40,1.43,38.64
1006.98,23.74,2.57,24.11,98.35,0.00,153.60,70.55,8.56,9.48,322.44,10.06,591.58,4.40,31.58,2.82,38.91
1006.52,24.62,2.56,35.54,98.19,0.00,175.90,71.16,11.24,13.70,322.49,14.66,625.93,5.74,29.45,0.51,58.11
1007.45,27.90,2.55,45.91,98.70,0.00,124.53,87.48,14.22,18.35,322.29,18.46,656.47,7.17,26.29,2.29,74.21
1002.64,26.34,2.75,45.13,99.62,0.00,164.78,82.99,14.93,19.12,322.16,17.00,549.60,5.79,21.13,0.96,71.06
1012.19,25.57,2.91,28.39,99.41,0.00,115.60,71.97,11.29,13.25,322.27,10.17,465.63,3.86,27.77,1.27,44.34
1003.08,28.31,2.24,21.34,99.12,6.81,202.02,72.17,4.97,4.34,322.11,8.02,358.77,3.02,35.94,2.70,35.41
1001.28,28.50,2.64,23.68,98.67,44.01,165.34,73.45,5.63,4.78,322.11,8.71,408.38,3.51,36.87,0.72,42.31
1004.14,25.91,3.27,22.13,95.69,175.03,91.88,77.94,5.34,3.36,322.11,8.45,400.75,3.64,42.11,2.62,35.65
1011.76,27.34,4.27,26.19,90.59,292.77,166.27,93.24,9.04,7.59,322.28,11.35,503.80,5.60,49.78,1.73,41.24
1004.48,29.43,4.00,28.47,82.59,312.99,157.35,95.16,10.25,9.93,322.31,12.82,526.70,6.47,71.47,1.13,48.10
1006.92,29.45,3.15,29.26,77.18,617.54,103.14,88.77,7.99,7.69,322.30,13.04,473.27,6.42,89.39,1.76,49.13
1011.49,27.55,2.82,31.01,74.79,758.81,132.31,86.57,6.92,6.53,322.16,13.32,465.63,6.67,96.70,0.47,55.97
1007.60,26.79,2.69,29.76,71.50,842.58,175.56,88.83,6.04,5.35,322.35,13.50,458.00,6.83,108.12,1.63,51.12
1009.58,28.42,2.47,28.85,68.30,797.58,99.20,81.48,5.14,4.26,322.32,12.77,400.75,6.29,115.09,0.82,47.55
1002.18,21.88,2.82,24.15,67.24,666.93,151.63,73.21,9.10,9.93,322.11,12.22,503.80,6.38,117.18,0.77,39.89
1009.22,26.32,2.97,30.02,66.05,454.30,166.73,83.57,14.08,17.51,321.66,15.25,874.02,8.00,125.57,2.42,48.71
1003.92,26.73,2.63,37.59,66.94,137.56,148.68,93.00,17.58,23.52,322.32,19.35,1030.50,10.00,137.46,1.49,62.99
1006.48,30.02,2.48,51.91,68.89,36.04,148.06,88.45,17.42,23.51,322.43,25.59,912.18,14.14,133.18,1.27,87.03
1002.54,26.87,2.34,53.43,76.31,5.86,120.07,79.20,14.22,18.70,322.66,26.11,839.67,14.92,97.62,1.59,94.58
1012.57,29.52,2.37,34.14,80.33,0.00,140.41,80.25,13.92,18.18,322.57,17.28,687.00,9.55,81.68,1.82,56.24
1005.30,29.29,2.25,36.40,83.22,0.00,120.85,76.76,13.75,18.11,321.47,17.78,587.77,9.53,91.77,0.68,58.71
1000.77,24.44,2.28,38.34,86.33,0.00,103.27,74.00,13.61,17.84,322.11,19.37,614.48,10.44,90.38,1.30,61.93
1009.55,26.73,2.31,37.37,87.05,0.00,215.88,73.72,14.94,19.85,322.56,19.44,519.07,10.65,86.10,1.53,58.23
1005.98,27.34,2.27,36.10,87.32,0.00,188.84,74.85,17.26,23.56,322.81,19.89,488.53,10.88,78.19,2.06,56.26
1005.49,28.31,2.48,33.93,89.00,0.00,169.95,74.40,11.06,13.54,322.19,18.85,522.88,10.60,91.05,1.32,52.74
1007.12,26.07,2.59,30.67,89.16,0.00,136.14,71.82,5.76,5.06,322.23,17.47,538.15,9.75,116.12,1.58,44.89
1005.96,31.41,2.35,27.38,89.84,0.00,117.51,68.71,4.01,2.67,322.76,15.72,629.75,8.72,115.22,1.90,41.33
1000.84,28.28,2.06,25.94,92.35,0.00,144.04,68.70,3.80,2.80,322.67,15.00,698.45,8.41,94.55,0.90,38.99
1003.98,27.73,2.18,27.55,93.87,0.00,87.11,70.00,4.37,3.50,322.51,16.20,728.98,9.32,84.17,2.47,42.75
1003.56,26.65,2.36,32.79,94.37,4.64,136.68,72.93,7.08,7.47,322.11,18.75,843.48,11.07,73.83,2.11,52.70
1006.79,28.30,2.57,42.74,93.93,30.50,87.81,75.05,9.22,10.52,322.00,20.15,896.92,11.47,66.49,1.91,72.96
1004.02,31.26,2.60,49.28,90.47,90.86,173.33,78.78,11.46,13.98,322.00,19.26,790.05,9.87,80.40,1.50,88.86
1007.16,27.38,2.77,32.92,86.81,161.39,117.63,83.39,8.70,9.37,322.00,14.69,492.35,7.52,90.72,1.68,53.64
1009.77,26.91,3.00,31.45,84.65,185.76,78.62,87.48,11.18,12.92,321.73,14.92,477.08,7.66,86.94,1.87,54.14
1009.82,23.38,2.95,38.74,84.42,247.46,116.05,83.36,12.71,15.39,322.03,20.14,557.23,10.54,92.96,1.51,61.01
1006.29,25.12,2.83,43.73,83.58,244.03,156.97,79.92,13.13,16.23,322.67,22.17,595.40,11.18,99.90,1.19,67.32
1004.26,24.63,3.70,45.99,83.53,229.36,132.09,76.06,20.41,26.33,322.34,22.37,477.08,10.96,88.06,1.25,75.99
1009.29,24.20,3.25,34.69,85.18,157.70,178.96,75.40,18.02,23.26,321.46,18.27,396.93,9.64,86.03,2.56,55.10
1001.50,26.97,3.38,28.91,83.86,203.83,180.26,76.24,16.09,20.00,322.43,14.76,347.32,7.47,83.76,2.51,48.23
1002.67,30.96,6.73,34.38,80.97,214.26,99.07,108.47,29.93,36.59,322.87,18.46,347.32,9.22,69.66,0.73,54.11
1009.63,28.83,9.30,41.88,81.89,130.72,153.25,137.83,45.58,57.07,322.83,22.60,427.47,11.98,50.81,1.06,65.34
1003.56,26.65,3.78,36.10,82.78,62.46,109.35,97.88,20.59,26.39,322.46,18.80,538.15,10.35,77.60,2.00,59.30
1007.75,30.16,2.33,32.87,83.92,8.24,103.30,82.19,14.32,18.84,322.44,16.75,564.87,9.13,77.25,1.56,53.47
1011.01,26.59,2.36,29.13,85.23,0.00,117.37,77.48,12.48,15.94,322.66,14.19,545.78,7.38,70.22,0.63,49.36
1011.68,24.14,2.40,31.44,87.39,0.00,117.80,76.98,16.45,22.10,322.73,15.54,507.62,8.21,53.07,0.99,52.24
1006.92,23.26,2.32,36.38,89.31,0.00,172.29,69.73,16.40,22.16,322.75,15.75,446.55,7.80,45.44,1.30,62.63
1001.88,24.51,2.38,35.28,88.58,0.00,141.53,69.00,13.45,17.43,322.84,14.58,351.13,6.91,50.59,1.38,59.84
1003.26,22.70,2.40,25.48,89.76,0.00,167.56,67.50,11.05,13.63,322.56,10.98,290.07,5.30,51.08,0.67,41.17
1009.00,28.53,2.58,24.99,92.13,0.00,164.93,72.24,12.60,15.79,322.30,11.94,305.33,6.06,42.71,1.21,38.00
1005.57,28.83,2.75,29.12,91.00,0.00,126.22,79.35,21.37,29.27,322.17,13.96,293.88,6.44,29.37,0.62,44.49
1004.54,25.65,3.05,32.40,92.46,0.00,78.27,79.66,21.19,28.52,322.18,15.96,374.03,7.32,24.43,1.34,49.71
1009.15,30.01,3.58,31.41,93.35,0.00,149.61,76.23,19.06,24.35,322.27,15.30,431.28,6.98,22.97,1.76,47.35
1006.12,27.62,9.11,51.24,95.05,0.00,126.10,78.40,23.92,23.50,322.16,21.02,576.32,8.39,20.84,1.86,80.23
1011.12,27.36,16.34,34.97,96.88,4.64,155.21,80.05,30.76,23.10,322.17,32.44,866.38,11.28,19.17,1.72,144.00
1002.34,26.29,21.42,35.35,96.38,39.36,175.95,85.83,35.27,22.42,322.49,33.21,1301.48,11.75,20.64,2.20,155.87
1004.39,27.40,20.65,69.82,94.64,83.23,156.39,99.84,36.74,25.91,322.22,25.12,1805.28,10.44,22.80,1.80,125.75
1006.30,26.41,14.53,47.35,86.51,219.00,177.27,100.46,31.15,26.53,322.21,19.48,786.23,8.43,31.49,1.95,83.56
1002.22,28.50,7.88,23.85,76.53,372.25,164.13,96.28,18.53,16.97,322.55,11.22,194.65,5.06,49.54,1.02,41.99
1010.39,28.25,8.52,28.18,75.61,456.13,195.24,107.45,20.22,18.62,322.62,14.05,202.28,6.22,49.62,1.23,47.98
1005.29,28.71,11.73,30.70,74.16,610.49,155.32,137.11,25.13,21.40,322.89,15.95,187.02,7.02,53.08,1.86,48.25
1007.74,24.70,5.42,21.65,73.06,579.82,143.91,107.38,14.62,14.60,322.67,11.17,183.20,5.12,62.25,1.12,34.22
1004.24,26.96,7.24,25.76,73.46,394.92,76.72,101.74,20.44,20.92,322.66,11.77,183.20,4.89,52.96,0.70,44.34
1006.36,31.15,8.47,26.25,74.38,373.81,134.20,88.61,22.61,22.42,322.68,10.42,190.83,3.86,50.31,1.48,46.88
1008.24,30.54,6.70,19.26,74.49,475.71,124.91,78.36,17.59,17.27,322.52,7.81,156.48,3.00,58.95,0.74,34.77
1004.82,26.02,5.29,20.58,76.32,365.75,185.68,77.93,15.31,15.89,321.68,8.49,152.67,3.56,57.06,1.18,34.66
1005.64,27.65,3.67,22.35,77.32,146.04,76.21,75.94,9.18,8.75,322.29,10.23,194.65,5.36,58.68,1.94,37.11
1001.48,30.90,3.89,42.62,80.10,20.10,147.40,80.99,18.64,23.23,322.74,25.65,312.97,15.85,38.64,0.82,63.27
1007.29,31.48,7.06,31.50,84.30,0.00,194.28,95.03,33.54,41.73,322.87,18.33,240.45,9.55,18.27,0.54,47.93
1008.93,32.01,7.23,27.54,86.08,0.00,96.69,97.69,33.11,40.80,322.95,13.46,160.30,5.64,16.59,1.61,43.92
1006.99,26.42,5.03,30.08,86.51,0.00,158.12,97.05,27.42,35.26,322.84,16.29,160.30,8.07,18.92,2.26,46.18
1008.17,28.95,3.05,24.69,87.27,0.00,172.55,87.29,18.60,24.47,322.89,13.85,202.28,7.21,23.86,0.43,38.97
1004.49,28.16,3.07,20.87,87.93,0.00,132.15,95.49,19.33,25.59,322.72,10.04,152.67,4.19,21.92,2.46,35.32
1005.91,31.85,7.12,26.37,88.41,0.00,134.63,102.96,27.12,31.58,322.56,12.63,137.40,4.98,17.80,2.05,45.15
1005.92,28.60,7.56,24.18,88.92,0.00,105.05,95.76,26.93,30.61,322.26,11.98,152.67,4.74,17.95,0.95,41.41
1002.29,26.59,4.76,24.59,90.26,0.00,122.93,84.55,20.84,25.37,322.19,12.97,217.55,6.55,18.17,2.05,38.75
1006.96,29.80,6.29,24.47,91.34,0.00,203.44,80.37,21.10,23.42,322.59,12.52,267.17,6.43,17.60,2.15,38.62
1011.29,25.43,7.51,22.61,92.23,0.00,227.70,80.25,20.42,20.49,322.48,10.15,347.32,4.35,17.39,1.48,38.57
1005.64,31.41,11.10,30.56,92.67,5.51,104.02,81.26,23.52,19.82,322.47,12.17,499.98,5.03,17.46,1.31,52.94
1002.40,26.21,14.78,36.44,89.87,73.65,116.86,82.70,26.82,19.36,322.18,15.32,629.75,6.36,20.32,0.40,59.97
1010.95,30.52,10.62,36.04,80.80,263.53,175.17,80.60,20.27,15.48,322.79,14.97,366.40,6.67,32.55,1.25,63.74
1003.47,28.15,5.24,29.48,76.27,242.26,192.29,78.29,13.19,12.63,322.57,9.99,282.43,3.87,44.08,2.33,57.33
999.95,28.40,3.82,25.47,75.50,245.93,79.90,74.52,9.70,9.34,322.48,8.86,225.18,3.43,50.34,2.69,50.21
1004.23,28.88,5.24,21.20,76.88,452.42,117.44,80.39,10.68,8.70,322.88,9.74,187.02,4.54,48.28,0.98,38.01
1007.33,26.16,4.99,17.91,71.06,852.16,109.91,88.65,9.70,7.52,323.00,9.49,156.48,4.49,55.26,2.58,32.26
1008.40,28.14,3.69,14.58,65.07,829.93,141.60,86.01,7.32,5.82,322.78,7.36,72.52,3.19,61.26,1.42,26.60
1011.47,21.80,3.56,16.48,73.20,453.48,141.11,77.71,6.71,5.06,322.62,7.03,68.70,3.13,54.13,0.51,32.32
1007.24,27.71,3.01,10.31,78.21,638.35,155.15,70.56,3.85,1.41,322.22,4.69,122.13,2.40,56.17,1.71,18.62
1009.54,24.76,3.26,10.79,75.40,586.71,138.91,75.36,4.58,2.19,322.03,5.57,164.12,2.97,62.25,1.01,18.97
1008.81,25.29,3.20,17.46,72.51,371.72,81.57,80.60,6.06,4.59,321.63,7.36,217.55,3.59,66.98,2.25,34.96
1010.20,29.83,2.68,43.58,74.86,152.54,97.85,84.28,7.27,7.29,322.12,17.88,309.15,7.27,62.84,1.81,74.85
1005.98,27.93,2.20,48.72,79.16,20.97,200.92,84.76,7.56,8.46,322.38,21.60,442.73,9.69,56.50,1.23,79.85
1003.43,31.53,2.39,39.07,82.35,0.00,216.65,79.11,8.50,9.66,322.47,17.99,461.82,9.04,49.11,1.06,65.47
1004.64,29.39,2.21,31.93,86.01,0.00,103.47,81.89,10.99,13.84,322.27,13.89,526.70,6.42,38.23,1.27,55.98
1006.04,27.55,2.51,34.73,91.49,0.00,156.07,93.96,17.70,23.91,321.81,16.45,561.05,7.31,29.15,1.67,58.68
1005.05,29.28,2.59,25.47,96.10,0.00,176.74,83.67,11.53,14.12,321.95,11.78,366.40,5.37,28.63,2.17,45.33
1007.75,31.29,2.62,32.14,94.98,0.00,173.13,100.17,14.75,19.11,322.30,14.68,484.72,6.78,28.54,1.93,56.83
1009.57,30.32,2.80,36.84,94.56,0.00,141.78,103.79,16.37,21.37,322.22,17.10,557.23,8.22,29.47,1.13,63.06
1008.92,26.07,2.59,30.97,97.29,0.00,162.13,87.97,10.63,12.70,321.69,14.61,435.10,6.93,28.01,0.91,50.84
1011.94,27.50,2.74,35.18,97.34,0.00,152.68,85.84,10.36,12.03,322.15,17.63,477.08,9.23,27.73,1.80,54.99
1005.44,27.87,2.70,35.09,96.95,0.00,138.73,90.56,11.69,14.17,322.19,19.36,587.77,10.65,28.21,1.22,51.58
1006.38,26.47,2.93,29.52,96.25,0.00,126.55,92.07,11.51,13.55,322.10,15.22,614.48,7.86,27.72,0.57,47.68
1009.26,28.30,3.31,32.34,92.81,8.02,66.39,100.47,14.51,17.66,322.27,16.56,656.47,8.51,29.66,2.21,53.82
1009.90,28.95,2.90,18.50,83.32,52.17,179.54,77.11,6.76,6.14,322.17,7.92,297.70,3.88,45.86,2.37,31.58
1002.49,25.58,2.89,17.88,77.36,187.27,71.38,68.90,4.02,1.85,322.11,7.75,225.18,3.65,53.30,1.03,29.75
1006.81,30.79,2.82,32.15,74.05,233.16,159.31,67.91,4.12,2.12,322.13,16.69,213.73,11.49,57.64,1.32,46.55
1006.05,26.20,2.57,30.22,70.95,343.23,140.57,69.53,3.07,0.88,322.42,14.93,206.10,10.32,63.60,0.69,45.26
1004.37,27.15,2.39,18.07,66.55,594.75,138.29,68.80,2.23,2.75,321.98,6.86,194.65,3.29,67.63,1.63,34.37
1010.39,31.56,2.52,15.41,64.28,781.54,118.62,68.25,1.98,1.90,322.34,6.37,171.75,3.23,72.41,2.40,27.27
1006.91,30.19,2.45,13.87,60.21,798.43,89.96,67.87,1.33,1.91,322.19,5.68,129.77,2.90,72.93,1.52,26.06
1005.66,26.74,2.48,18.86,55.85,719.95,186.29,68.00,2.35,1.86,322.42,5.76,137.40,2.59,73.34,0.46,36.95
1012.19,23.90,2.76,25.18,52.48,577.67,134.26,67.01,3.46,1.17,321.84,6.42,118.32,2.49,70.64,1.91,51.75
1010.63,29.59,2.66,37.88,52.46,399.40,170.63,67.15,3.23,0.99,321.90,8.38,91.60,3.05,73.95,2.82,79.71
1008.88,23.59,2.76,31.90,73.78,98.77,108.02,68.09,8.76,9.50,322.69,10.61,240.45,4.74,61.10,0.46,60.95
1004.68,26.48,2.63,12.44,84.96,11.12,125.22,68.44,8.94,9.96,322.60,6.27,328.23,3.06,56.29,1.26,23.54
1004.94,28.35,2.48,10.81,79.24,2.56,166.29,67.22,5.44,4.68,322.60,5.00,236.63,2.38,62.63,1.86,21.86
1004.46,31.22,10.07,11.37,72.19,0.00,102.84,90.72,10.01,0.25,323.00,5.27,57.25,2.55,56.37,1.73,20.03
1007.64,26.60,2.70,14.85,73.79,0.00,107.36,63.30,4.66,0.93,322.95,7.63,57.25,3.84,50.31,2.17,23.59
1007.88,23.93,1.62,11.09,76.90,0.00,185.33,61.93,2.04,0.73,322.89,6.31,45.80,3.25,45.76,1.99,18.13
1006.23,27.03,2.30,10.01,78.62,0.00,226.75,63.52,2.57,0.51,322.82,5.62,38.17,2.87,42.86,1.82,17.00
1006.58,26.22,2.26,9.50,85.99,0.00,149.42,64.49,2.52,0.48,322.85,5.86,34.35,2.89,39.48,2.09,16.37
1008.27,26.85,2.40,8.58,90.33,0.00,82.66,65.52,3.11,1.18,322.83,5.00,49.62,2.46,36.12,2.55,14.56
1013.38,26.45,2.62,6.61,89.80,0.00,135.48,67.20,3.91,2.12,322.88,3.50,61.07,1.81,34.71,1.28,12.40
1008.91,30.32,2.62,6.28,93.18,0.00,231.60,70.01,4.66,3.28,322.80,3.56,95.42,1.92,33.68,1.22,10.24
1008.29,26.30,2.40,6.04,89.15,2.90,109.15,69.68,4.25,2.98,322.57,3.30,152.67,1.73,33.76,1.07,10.65
1008.58,27.24,2.75,8.48,85.02,18.73,177.30,70.22,6.60,6.11,322.38,3.74,309.15,1.72,32.57,0.39,16.24
1001.94,26.86,5.30,10.23,89.34,129.66,80.90,72.29,10.92,8.98,322.27,5.23,465.63,2.49,30.51,1.21,19.72
1007.96,28.31,3.64,9.44,84.62,126.54,88.02,69.19,6.89,5.22,322.25,4.74,202.28,2.24,33.70,1.46,16.16
1004.45,29.52,4.18,10.11,92.02,82.02,114.90,66.92,7.86,5.91,322.57,4.92,171.75,2.25,31.28,0.75,22.44
1007.01,24.39,4.61,7.47,90.47,388.80,114.40,67.86,7.06,3.98,322.93,3.84,187.02,1.90,35.90,1.43,14.16
1008.89,28.08,3.26,6.19,85.73,292.29,103.17,66.06,2.78,2.93,322.94,3.44,99.23,1.79,43.30,1.52,11.39
1011.60,28.72,2.87,4.25,87.99,338.44,106.43,65.75,1.72,3.43,322.95,2.79,91.60,1.46,45.26,3.02,7.86
1004.43,25.00,2.69,3.85,82.04,444.93,136.44,65.48,1.75,4.03,323.00,2.42,91.60,1.26,49.31,1.59,7.46
1002.99,25.18,2.81,4.38,79.69,274.24,133.46,64.96,2.62,4.42,322.53,2.41,103.05,1.24,51.09,0.87,6.89
1012.16,30.08,2.83,7.17,80.42,176.99,266.48,65.29,3.41,1.00,322.42,3.07,122.13,1.72,49.99,2.36,12.96
1008.41,25.86,2.83,10.91,80.91,80.99,156.96,65.48,4.75,3.10,322.71,6.04,167.93,3.51,48.15,1.92,19.22
1002.15,26.97,3.00,20.47,81.58,40.81,98.24,67.10,7.55,7.22,322.72,8.32,270.98,3.93,44.85,2.01,38.32
1012.48,26.78,3.04,19.73,88.77,16.55,130.37,69.34,11.34,13.09,322.79,8.26,263.35,3.81,39.74,1.85,37.22
1010.88,33.10,2.88,12.16,95.87,0.00,81.94,72.00,13.70,17.05,322.69,7.32,190.83,3.68,34.05,3.14,21.56
1006.98,30.54,2.73,14.58,98.42,0.00,99.09,72.26,13.07,16.30,322.44,8.35,148.85,4.27,31.76,2.00,29.83
1002.75,29.35,2.80,11.47,99.88,0.00,70.01,70.59,13.75,17.26,322.84,5.85,95.42,2.97,31.07,2.36,31.32
1005.74,31.21,2.79,9.75,99.74,0.00,163.58,70.65,15.16,19.47,322.49,5.45,91.60,2.79,29.49,2.55,27.77
1011.39,24.80,2.55,7.27,99.85,0.00,209.26,69.06,11.96,14.85,322.49,3.97,87.78,2.03,32.08,1.16,16.32
1002.33,23.75,2.49,5.16,99.45,0.00,115.83,65.74,6.17,5.82,322.73,1.91,76.33,0.83,38.87,2.23,11.63
1005.48,22.17,2.45,4.63,98.17,0.00,97.15,66.45,7.16,7.46,322.21,1.72,87.78,0.68,36.35,3.14,14.13
1010.42,28.47,3.00,7.09,98.94,0.00,134.38,67.66,11.23,13.01,321.81,2.47,148.85,1.01,29.05,1.98,17.85
1007.12,27.84,3.56,13.30,99.84,0.00,102.39,72.05,13.14,15.12,322.49,5.46,324.42,2.44,26.14,1.47,26.61
1012.75,29.97,3.40,22.56,99.94,0.00,173.30,80.50,13.15,15.39,322.54,9.12,744.25,3.74,24.34,0.34,47.11
1000.65,31.63,3.14,19.25,99.95,0.05,167.80,76.70,12.85,15.34,322.57,8.34,625.93,3.46,24.24,1.72,39.20
1002.76,29.36,2.90,8.58,99.58,8.75,106.31,69.93,9.29,10.11,322.28,3.99,312.97,1.85,29.94,1.85,16.27
